"file_num","sim_number","size_fracture","volume","gyration_diam","strain"
115,13,271,28870.74,28.1762,"Petite"
115,14,329,42115.84,32.19538,"Petite"
115,15,355,46905.11,31.73196,"Petite"
115,16,289,34985.51,29.68409,"Petite"
115,17,327,40957.29,30.89823,"Petite"
115,18,362,54115.67,34.16575,"Petite"
115,19,288,39641.55,29.50133,"Petite"
115,20,304,35932.16,29.89718,"Petite"
115,21,276,29899.55,27.92159,"Petite"
115,22,234,25629.23,26.52029,"Petite"
115,23,319,39013.49,30.09663,"Petite"
115,24,342,43421.2,31.26082,"Petite"
115,25,289,33421.94,29.18523,"Petite"
115,26,305,40774.16,31.09937,"Petite"
115,27,246,26743.89,26.665,"Petite"
115,28,306,31372.45,28.86059,"Petite"
115,29,379,46855.75,33.0652,"Petite"
115,30,321,40618.85,30.57671,"Petite"
116,1,309,34437.56,30.06377,"Petite"
116,2,321,39443.59,30.44613,"Petite"
116,3,278,38314.04,29.31064,"Petite"
116,4,423,67466.94,36.7054,"Petite"
116,5,320,38515.58,32.11518,"Petite"
116,6,267,33954.92,29.91777,"Petite"
116,7,320,47227.84,31.98,"Petite"
116,8,344,46655.32,32.88836,"Petite"
116,9,370,46641.94,32.07665,"Petite"
116,10,305,36471.8,30.33731,"Petite"
116,11,311,40179.58,30.55907,"Petite"
116,12,279,33013.69,30.02545,"Petite"
116,13,289,32072.32,29.85873,"Petite"
116,14,336,43240.52,31.37058,"Petite"
116,15,315,41142.65,30.30669,"Petite"
116,16,336,47343.49,33.6626,"Petite"
116,17,311,39048.44,32.51699,"Petite"
116,18,341,44805.5,34.31679,"Petite"
116,19,311,34447.74,30.82675,"Petite"
116,20,336,46741.52,31.90466,"Petite"
116,21,344,45452.76,33.64354,"Petite"
116,22,305,37691.24,29.93707,"Petite"
116,23,299,37270.64,30.57881,"Petite"
116,24,308,39287.42,30.50595,"Petite"
116,25,374,55883.89,35.342,"Petite"
116,26,278,31500.43,29.83215,"Petite"
116,27,371,49523.55,32.23399,"Petite"
116,28,302,36001.66,29.44893,"Petite"
116,29,369,46454.24,34.55259,"Petite"
116,30,356,55358.91,34.82726,"Petite"
117,1,282,27952.66,27.40179,"Petite"
117,2,397,58298.95,37.99084,"Petite"
117,3,309,45507.27,35.34059,"Petite"
117,4,299,39924.89,29.55696,"Petite"
117,5,373,54489.02,36.59806,"Petite"
117,6,352,49242.39,32.6226,"Petite"
117,7,311,41576.93,30.49906,"Petite"
117,8,314,32924.56,28.40658,"Petite"
117,9,346,55809.54,34.36934,"Petite"
117,10,346,45768.81,32.94242,"Petite"
117,11,323,40227.2,31.16279,"Petite"
117,12,306,37290.48,29.10282,"Petite"
117,13,299,36945.34,29.17747,"Petite"
117,14,316,40781.86,30.46755,"Petite"
117,15,319,45784.18,32.6138,"Petite"
117,16,299,37066.05,29.55595,"Petite"
117,17,316,43604.16,30.40352,"Petite"
117,18,260,29113.84,28.57757,"Petite"
117,19,297,34996.94,29.05054,"Petite"
117,20,296,35903.95,29.23781,"Petite"
117,21,330,38526.99,30.61919,"Petite"
117,22,355,41860.97,31.92558,"Petite"
117,23,317,42331.26,29.86951,"Petite"
117,24,374,52019.91,33.33615,"Petite"
117,25,315,41040.07,31.09664,"Petite"
