"sim_number","generation","diameter","variation","diff_mean"
1,0,15,0,0
1,1,15,0,0
1,2,15,0,0
1,3,15,0,0
1,4,15,0,0
1,5,15,0,0
1,6,15,0,0
1,7,15,0,0
1,8,15,0,0
1,9,15,0,0
1,10,15,0,0
1,11,15,0,0
1,12,15,0,0
1,13,15,0,0
1,14,15,0,0
1,15,15,0,0
1,16,15,0,0
1,17,15,0,0
1,18,15,0,0
1,19,15,0,0
1,20,15,0,0
1,21,15,0,0
1,22,15,0,0
1,23,15,0,0
1,24,15,0,0
1,25,15,0,0
1,26,15,0,0
1,27,15,0,0
1,28,15,0,0
1,29,15,0,0
1,30,15,0,0
1,31,15,0,0
1,32,15,0,0
1,33,15,0,0
1,34,15,0,0
1,35,15,0,0
1,36,15,0,0
1,37,15,0,0
1,38,15,0,0
1,39,15,0,0
1,40,15,0,0
1,41,15,0,0
1,42,15,0,0
1,43,15,0,0
1,44,15,0,0
1,45,15,0,0
1,46,15,0,0
1,47,15,0,0
1,48,15,0,0
1,49,15,0,0
1,50,15,0,0
1,51,15,0,0
2,0,15,0,0
2,1,15,0,0
2,2,15,0,0
2,3,15,0,0
2,4,15,0,0
2,5,15,0,0
2,6,15,0,0
2,7,15,0,0
2,8,15,0,0
2,9,15,0,0
2,10,15,0,0
2,11,15,0,0
2,12,15,0,0
2,13,15,0,0
2,14,15,0,0
2,15,15,0,0
2,16,15,0,0
2,17,15,0,0
2,18,15,0,0
2,19,15,0,0
2,20,15,0,0
2,21,15,0,0
2,22,15,0,0
2,23,15,0,0
2,24,15,0,0
2,25,15,0,0
2,26,15,0,0
2,27,15,0,0
2,28,15,0,0
2,29,15,0,0
2,30,15,0,0
2,31,15,0,0
2,32,15,0,0
2,33,15,0,0
2,34,15,0,0
2,35,15,0,0
2,36,15,0,0
2,37,15,0,0
2,38,15,0,0
2,39,15,0,0
2,40,15,0,0
2,41,15,0,0
2,42,15,0,0
2,43,15,0,0
2,44,15,0,0
2,45,15,0,0
2,46,15,0,0
2,47,15,0,0
2,48,15,0,0
2,49,15,0,0
2,50,15,0,0
2,51,15,0,0
3,0,15,0,0
3,1,15,0,0
3,2,15,0,0
3,3,15,0,0
3,4,15,0,0
3,5,15,0,0
3,6,15,0,0
3,7,15,0,0
3,8,15,0,0
3,9,15,0,0
3,10,15,0,0
3,11,15,0,0
3,12,15,0,0
3,13,15,0,0
3,14,15,0,0
3,15,15,0,0
3,16,15,0,0
3,17,15,0,0
3,18,15,0,0
3,19,15,0,0
3,20,15,0,0
3,21,15,0,0
3,22,15,0,0
3,23,15,0,0
3,24,15,0,0
3,25,15,0,0
3,26,15,0,0
3,27,15,0,0
3,28,15,0,0
3,29,15,0,0
3,30,15,0,0
3,31,15,0,0
3,32,15,0,0
3,33,15,0,0
3,34,15,0,0
3,35,15,0,0
3,36,15,0,0
3,37,15,0,0
3,38,15,0,0
3,39,15,0,0
3,40,15,0,0
3,41,15,0,0
3,42,15,0,0
3,43,15,0,0
3,44,15,0,0
3,45,15,0,0
3,46,15,0,0
3,47,15,0,0
3,48,15,0,0
3,49,15,0,0
3,50,15,0,0
3,51,15,0,0
4,0,15,0,0
4,1,15,0,0
4,2,15,0,0
4,3,15,0,0
4,4,15,0,0
4,5,15,0,0
4,6,15,0,0
4,7,15,0,0
4,8,15,0,0
4,9,15,0,0
4,10,15,0,0
4,11,15,0,0
4,12,15,0,0
4,13,15,0,0
4,14,15,0,0
4,15,15,0,0
4,16,15,0,0
4,17,15,0,0
4,18,15,0,0
4,19,15,0,0
4,20,15,0,0
4,21,15,0,0
4,22,15,0,0
4,23,15,0,0
4,24,15,0,0
4,25,15,0,0
4,26,15,0,0
4,27,15,0,0
4,28,15,0,0
4,29,15,0,0
4,30,15,0,0
4,31,15,0,0
4,32,15,0,0
4,33,15,0,0
4,34,15,0,0
4,35,15,0,0
4,36,15,0,0
4,37,15,0,0
4,38,15,0,0
4,39,15,0,0
4,40,15,0,0
4,41,15,0,0
4,42,15,0,0
4,43,15,0,0
4,44,15,0,0
4,45,15,0,0
4,46,15,0,0
4,47,15,0,0
4,48,15,0,0
4,49,15,0,0
4,50,15,0,0
4,51,15,0,0
5,0,15,0,0
5,1,15,0,0
5,2,15,0,0
5,3,15,0,0
5,4,15,0,0
5,5,15,0,0
5,6,15,0,0
5,7,15,0,0
5,8,15,0,0
5,9,15,0,0
5,10,15,0,0
5,11,15,0,0
5,12,15,0,0
5,13,15,0,0
5,14,15,0,0
5,15,15,0,0
5,16,15,0,0
5,17,15,0,0
5,18,15,0,0
5,19,15,0,0
5,20,15,0,0
5,21,15,0,0
5,22,15,0,0
5,23,15,0,0
5,24,15,0,0
5,25,15,0,0
5,26,15,0,0
5,27,15,0,0
5,28,15,0,0
5,29,15,0,0
5,30,15,0,0
5,31,15,0,0
5,32,15,0,0
5,33,15,0,0
5,34,15,0,0
5,35,15,0,0
5,36,15,0,0
5,37,15,0,0
5,38,15,0,0
5,39,15,0,0
5,40,15,0,0
5,41,15,0,0
5,42,15,0,0
5,43,15,0,0
5,44,15,0,0
5,45,15,0,0
5,46,15,0,0
5,47,15,0,0
5,48,15,0,0
5,49,15,0,0
5,50,15,0,0
5,51,15,0,0
6,0,15,0,0
6,1,15,0,0
6,2,15,0,0
6,3,15,0,0
6,4,15,0,0
6,5,15,0,0
6,6,15,0,0
6,7,15,0,0
6,8,15,0,0
6,9,15,0,0
6,10,15,0,0
6,11,15,0,0
6,12,15,0,0
6,13,15,0,0
6,14,15,0,0
6,15,15,0,0
6,16,15,0,0
6,17,15,0,0
6,18,15,0,0
6,19,15,0,0
6,20,15,0,0
6,21,15,0,0
6,22,15,0,0
6,23,15,0,0
6,24,15,0,0
6,25,15,0,0
6,26,15,0,0
6,27,15,0,0
6,28,15,0,0
6,29,15,0,0
6,30,15,0,0
6,31,15,0,0
6,32,15,0,0
6,33,15,0,0
6,34,15,0,0
6,35,15,0,0
6,36,15,0,0
6,37,15,0,0
6,38,15,0,0
6,39,15,0,0
6,40,15,0,0
6,41,15,0,0
6,42,15,0,0
6,43,15,0,0
6,44,15,0,0
6,45,15,0,0
6,46,15,0,0
6,47,15,0,0
6,48,15,0,0
6,49,15,0,0
6,50,15,0,0
6,51,15,0,0
7,0,15,0,0
7,1,15,0,0
7,2,15,0,0
7,3,15,0,0
7,4,15,0,0
7,5,15,0,0
7,6,15,0,0
7,7,15,0,0
7,8,15,0,0
7,9,15,0,0
7,10,15,0,0
7,11,15,0,0
7,12,15,0,0
7,13,15,0,0
7,14,15,0,0
7,15,15,0,0
7,16,15,0,0
7,17,15,0,0
7,18,15,0,0
7,19,15,0,0
7,20,15,0,0
7,21,15,0,0
7,22,15,0,0
7,23,15,0,0
7,24,15,0,0
7,25,15,0,0
7,26,15,0,0
7,27,15,0,0
7,28,15,0,0
7,29,15,0,0
7,30,15,0,0
7,31,15,0,0
7,32,15,0,0
7,33,15,0,0
7,34,15,0,0
7,35,15,0,0
7,36,15,0,0
7,37,15,0,0
7,38,15,0,0
7,39,15,0,0
7,40,15,0,0
7,41,15,0,0
7,42,15,0,0
7,43,15,0,0
7,44,15,0,0
7,45,15,0,0
7,46,15,0,0
7,47,15,0,0
7,48,15,0,0
7,49,15,0,0
7,50,15,0,0
7,51,15,0,0
8,0,15,0,0
8,1,15,0,0
8,2,15,0,0
8,3,15,0,0
8,4,15,0,0
8,5,15,0,0
8,6,15,0,0
8,7,15,0,0
8,8,15,0,0
8,9,15,0,0
8,10,15,0,0
8,11,15,0,0
8,12,15,0,0
8,13,15,0,0
8,14,15,0,0
8,15,15,0,0
8,16,15,0,0
8,17,15,0,0
8,18,15,0,0
8,19,15,0,0
8,20,15,0,0
8,21,15,0,0
8,22,15,0,0
8,23,15,0,0
8,24,15,0,0
8,25,15,0,0
8,26,15,0,0
8,27,15,0,0
8,28,15,0,0
8,29,15,0,0
8,30,15,0,0
8,31,15,0,0
8,32,15,0,0
8,33,15,0,0
8,34,15,0,0
8,35,15,0,0
8,36,15,0,0
8,37,15,0,0
8,38,15,0,0
8,39,15,0,0
8,40,15,0,0
8,41,15,0,0
8,42,15,0,0
8,43,15,0,0
8,44,15,0,0
8,45,15,0,0
8,46,15,0,0
8,47,15,0,0
